country,iso_code,year,external_debt_pct_gni,debt_service_pct_exports,gdp_growth_pct,reserves_months_imports,inflation_pct,score_debt_gni,score_debt_service,score_gdp_growth,score_reserves,score_inflation,indicators_available,debt_risk_score,trend_slope,years_used,risk_tier
Niger,NER,2024,27.5138701036448,18.9689773253997,8.32327058280728,,9.07151997725013,26.956233421750664,76.87983134223472,8.693450371370687,,83.01597723790763,4,48.886373093315925,-9.376942116672593,5.0,Moderate Risk
Nigeria,NGA,2024,60.0447244122839,21.9135766141912,4.07106650147703,7.10548211734757,33.2420966545406,68.13660477453581,81.55305692199578,43.48413234301148,21.754385964912288,97.81133727292624,5,62.54790345547632,0.7118398992435506,5.0,Elevated Risk
North Macedonia,MKD,2024,81.1537085602971,14.4210946901678,2.99373536567732,4.57721554512587,3.48974086026954,83.88594164456234,65.10892480674632,57.42741390952059,45.57017543859649,49.68264390457431,5,60.33501994080001,-2.434817516082317,5.0,Elevated Risk
Norway,NOR,2024,,,1.42372134524737,4.33829238466711,3.14530134431081,,,74.54422687373396,49.10087719298246,45.45852484132195,3,56.367876302679456,3.1751984507401065,5.0,Elevated Risk
Oman,OMN,2024,,,1.63163231397978,3.68674849054903,0.593589236248469,,,72.6029709655638,57.74122807017544,12.21273801707157,3,47.51897901760359,1.0336307532714384,5.0,Moderate Risk
Pakistan,PAK,2024,35.6282760521045,39.5425844195386,3.08176295579301,2.84764026163798,12.6325318530452,39.78779840848807,95.39704848910752,56.2626603646185,69.47368421052632,90.6762967826658,5,70.31949765108122,-1.725964745403371,5.0,Elevated Risk
Panama,PAN,2024,,,2.74784148771307,2.06778816529506,0.693225551004538,,,60.44902093180284,79.73684210526315,13.328956007879189,3,51.17160634831506,4.021741927900042,5.0,Elevated Risk
Papua New Guinea,PNG,2024,41.8854823852824,43.3382712553473,3.88795324667848,4.89986226575574,0.602403921107917,49.6684350132626,96.52143359100492,45.76299797434166,41.40350877192982,12.322171153425256,5,49.13570930079285,-7.233465415224312,5.0,Moderate Risk
Paraguay,PRY,2024,69.740945590813,11.0611568256561,4.66914577981763,5.55063003989381,3.83540271728533,76.79045092838196,51.897399859451866,35.87103308575287,33.26754385964912,53.38148391332895,5,50.24158232931295,-3.734759156914342,5.0,Elevated Risk
Peru,PER,2024,34.2282212044217,17.1119312052217,3.5152749274832,10.541729235702,2.00770739412712,37.56631299734748,72.73366127898805,50.658338960162055,10.21929824561404,29.919019479098267,5,40.21932619224198,-2.5186963483407814,5.0,Moderate Risk
Philippines,PHL,2024,26.2604550502335,14.4330389093768,5.71474526128652,7.34350984657379,3.21260487006347,25.03315649867374,65.1791988756149,25.37137069547603,20.307017543859654,46.18078354125629,5,36.41430543097613,-1.1304770871818761,5.0,Moderate Risk
Poland,POL,2024,,,3.02841630700273,5.36718824327154,3.79060897630197,,,56.93787981093856,35.59210526315789,53.03129787699715,3,48.52042765036453,-0.2726483670630288,5.0,Moderate Risk
Portugal,PRT,2024,,,2.21459232301109,3.14206718624253,2.41613187791884,,,66.57663740715732,65.30701754385964,35.981615233092576,3,55.95509006136985,2.8079293574758526,5.0,Elevated Risk
Qatar,QAT,2024,,,3.10963283242745,6.69567627121726,1.26734310292375,,,55.82376772451047,24.23245614035088,19.93871744364193,3,33.33164710283443,-2.0395065146260634,5.0,Moderate Risk
Romania,ROU,2024,,,0.916003764382594,4.94653433270579,5.72140574354439,,,79.10195813639433,40.81140350877192,67.91420442109872,3,62.60918868875499,3.4149495347616017,5.0,Elevated Risk
Russian Federation,RUS,2024,,11.3520494753528,4.92167966203073,16.7764680215271,8.43486410496723,,52.95151089248068,33.20391627278866,3.793859649122808,80.80542788356314,4,42.68867867448883,7.265346720937144,5.0,Moderate Risk
Rwanda,RWA,2024,93.8824280218587,7.97435072087266,7.22717103344534,4.18468259139653,1.77029240198635,88.62732095490716,37.6317638791286,13.656313301823104,51.20614035087719,26.7892317793828,5,43.582154053223775,-2.652508285601485,5.0,Moderate Risk
Samoa,WSM,2024,37.560249218259,9.03364082612879,4.7483863916535,9.81929197317744,2.17245530514377,42.771883289124666,42.6914968376669,34.8244429439568,12.171052631578943,32.30466185160867,5,32.95270751078719,-9.810224719022226,5.0,Moderate Risk
Sao Tome and Principe,STP,2024,42.7472134373302,3.46661642028318,1.47888850952698,3.4556036946912,14.3519273571008,50.72944297082229,14.93323963457484,73.8521269412559,60.70175438596491,92.66797986430292,5,58.576908759384175,4.366520053737773,5.0,Elevated Risk
Saudi Arabia,SAU,2024,,,2.64893068308965,15.0571337423468,1.68792112375809,,,61.69817690749493,5.131578947368425,25.673013788575183,3,30.83425654781285,2.1937047717863623,5.0,Moderate Risk
